ms,pos_z,vel_z,accel_z
355,3438.0317,-34.81361,-9.80665
356,3437.6826,-34.91168,-9.80665
357,3437.3325,-35.009747,-9.80665
358,3436.9814,-35.107815,-9.80665
359,3436.6294,-35.205883,-9.80665
360,3436.2764,-35.30395,-9.80665
361,3435.9224,-35.40202,-9.80665
362,3435.5674,-35.500088,-9.80665
363,3435.2114,-35.598156,-9.80665
364,3434.8545,-35.696224,-9.80665
365,3434.4966,-35.794292,-9.80665
366,3434.1377,-35.89236,-9.80665
367,3433.7778,-35.99043,-9.80665
368,3433.417,-36.088497,-9.80665
369,3433.0552,-36.186565,-9.80665
370,3432.6924,-36.284634,-9.80665
371,3432.3286,-36.3827,-9.80665
372,3431.9639,-36.48077,-9.80665
373,3431.5981,-36.57884,-9.80665
374,3431.2314,-36.676907,-9.80665
375,3430.8638,-36.774975,-9.80665
376,3430.495,-36.873043,-9.80665
377,3430.1255,-36.97111,-9.80665
378,3429.755,-37.06918,-9.80665
379,3429.3833,-37.167248,-9.80665
380,3429.0107,-37.265316,-9.80665
381,3428.6372,-37.363384,-9.80665
382,3428.2627,-37.461452,-9.80665
383,3427.8872,-37.55952,-9.80665
384,3427.5107,-37.65759,-9.80665
385,3427.1333,-37.755657,-9.80665
386,3426.755,-37.853725,-9.80665
387,3426.3752,-37.951794,-9.80665
388,3425.9946,-38.049862,-9.80665
389,3425.613,-38.14793,-9.80665
390,3425.2305,-38.246,-9.80665
391,3424.847,-38.344067,-9.80665
392,3424.4624,-38.442135,-9.80665
393,3424.077,-38.540203,-9.80665
394,3423.6904,-38.63827,-9.80665
395,3423.303,-38.73634,-9.80665
396,3422.9146,-38.834408,-9.80665
397,3422.5251,-38.932476,-9.80665
398,3422.1348,-39.030544,-9.80665
399,3421.7434,-39.128613,-9.80665
400,3421.351,-39.22668,-9.80665
401,3420.9578,-39.32475,-9.80665
402,3420.5635,-39.422817,-9.80665
403,3420.1682,-39.520885,-9.80665
404,3419.772,-39.618954,-9.80665
405,3419.3748,-39.717022,-9.80665
406,3418.9766,-39.81509,-9.80665
407,3418.5774,-39.91316,-9.80665
408,3418.1772,-40.011227,-9.80665
409,3417.7761,-40.109295,-9.80665
410,3417.374,-40.207363,-9.80665
411,3416.971,-40.30543,-9.80665
412,3416.567,-40.4035,-9.80665
413,3416.1619,-40.501568,-9.80665
414,3415.7559,-40.599636,-9.80665
415,3415.3489,-40.697704,-9.80665
416,3414.941,-40.795773,-9.80665
417,3414.532,-40.89384,-9.80665
418,3414.122,-40.99191,-9.80665
419,3413.7112,-41.089977,-9.80665
420,3413.2993,-41.188046,-9.80665
421,3412.8865,-41.286114,-9.80665
422,3412.4727,-41.384182,-9.80665
423,3412.0579,-41.48225,-9.80665
424,3411.642,-41.58032,-9.80665
425,3411.2253,-41.678387,-9.80665
426,3410.8076,-41.776455,-9.80665
427,3410.389,-41.874523,-9.80665
428,3409.9692,-41.97259,-9.80665
429,3409.5486,-42.07066,-9.80665
430,3409.127,-42.168728,-9.80665
431,3408.7043,-42.266796,-9.80665
432,3408.2808,-42.364864,-9.80665
433,3407.8562,-42.462933,-9.80665
434,3407.4307,-42.561,-9.80665
435,3407.0042,-42.65907,-9.80665
436,3406.5767,-42.757137,-9.80665
437,3406.1482,-42.855206,-9.80665
438,3405.7188,-42.953274,-9.80665
439,3405.2883,-43.051342,-9.80665
440,3404.857,-43.14941,-9.80665
441,3404.4246,-43.24748,-9.80665
442,3403.9912,-43.345547,-9.80665
443,3403.557,-43.443615,-9.80665
444,3403.1216,-43.541683,-9.80665
445,3402.6853,-43.63975,-9.80665
446,3402.2478,-43.73782,-9.80665
447,3401.8093,-43.835888,-9.80665
448,3401.3699,-43.933956,-9.80665
449,3400.9294,-44.032024,-9.80665
450,3400.488,-44.130093,-9.80665
451,3400.0457,-44.22816,-9.80665
452,3399.6023,-44.32623,-9.80665
453,3399.158,-44.424297,-9.80665
454,3398.7126,-44.522366,-9.80665
455,3398.2664,-44.620434,-9.80665
456,3397.819,-44.718502,-9.80665
457,3397.3708,-44.81657,-9.80665
458,3396.9216,-44.91464,-9.80665
459,3396.4714,-45.012707,-9.80665
460,3396.0203,-45.110775,-9.80665
461,3395.568,-45.208843,-9.80665
462,3395.115,-45.30691,-9.80665
463,3394.661,-45.40498,-9.80665
464,3394.2058,-45.503048,-9.80665
465,3393.7498,-45.601116,-9.80665
466,3393.2927,-45.699184,-9.80665
467,3392.8347,-45.797253,-9.80665
468,3392.3757,-45.89532,-9.80665
469,3391.9158,-45.99339,-9.80665
470,3391.4548,-46.091457,-9.80665
471,3390.993,-46.189526,-9.80665
472,3390.53,-46.287594,-9.80665
473,3390.0662,-46.385662,-9.80665
474,3389.6013,-46.48373,-9.80665
475,3389.1355,-46.5818,-9.80665
476,3388.6687,-46.679867,-9.80665
477,3388.201,-46.777935,-9.80665
478,3387.7322,-46.876003,-9.80665
479,3387.2625,-46.97407,-9.80665
480,3386.7917,-47.07214,-9.80665
481,3386.32,-47.170208,-9.80665
482,3385.8474,-47.268276,-9.80665
483,3385.3738,-47.366344,-9.80665
484,3384.8992,-47.464413,-9.80665
485,3384.4236,-47.56248,-9.80665
486,3383.947,-47.66055,-9.80665
487,3383.4695,-47.758617,-9.80665
488,3382.991,-47.856686,-9.80665
489,3382.5115,-47.954754,-9.80665
490,3382.031,-48.052822,-9.80665
491,3381.5496,-48.15089,-9.80665
492,3381.0671,-48.24896,-9.80665
493,3380.5837,-48.347027,-9.80665
494,3380.0994,-48.445095,-9.80665
495,3379.614,-48.543163,-9.80665
496,3379.1277,-48.64123,-9.80665
497,3378.6404,-48.7393,-9.80665
498,3378.152,-48.837368,-9.80665
499,3377.6628,-48.935436,-9.80665
500,3377.1726,-49.033504,-9.80665
501,3376.6814,-49.131573,-9.80665
502,3376.1892,-49.22964,-9.80665
503,3375.696,-49.32771,-9.80665
504,3375.202,-49.425777,-9.80665
505,3374.7068,-49.523846,-9.80665
506,3374.2104,-49.621914,-9.80665
507,3373.7131,-49.719982,-9.80665
508,3373.2148,-49.81805,-9.80665
509,3372.7156,-49.91612,-9.80665
510,3372.2153,-50.014187,-9.80665
511,3371.714,-50.112255,-9.80665
512,3371.212,-50.210323,-9.80665
513,3370.7087,-50.30839,-9.80665
514,3370.2046,-50.40646,-9.80665
515,3369.6995,-50.504528,-9.80665
516,3369.1934,-50.602596,-9.80665
517,3368.6863,-50.700665,-9.80665
518,3368.1782,-50.798733,-9.80665
519,3367.6692,-50.8968,-9.80665
520,3367.1592,-50.99487,-9.80665
521,3366.6482,-51.092937,-9.80665
522,3366.1362,-51.191006,-9.80665
523,3365.6233,-51.289074,-9.80665
524,3365.1094,-51.387142,-9.80665
525,3364.5945,-51.48521,-9.80665
526,3364.0786,-51.58328,-9.80665
527,3363.5618,-51.681347,-9.80665
528,3363.044,-51.779415,-9.80665
529,3362.5251,-51.877483,-9.80665
530,3362.0054,-51.97555,-9.80665
531,3361.4846,-52.07362,-9.80665
532,3360.963,-52.171688,-9.80665
533,3360.4402,-52.269756,-9.80665
534,3359.9165,-52.367825,-9.80665
535,3359.3918,-52.465893,-9.80665
536,3358.8662,-52.56396,-9.80665
537,3358.3396,-52.66203,-9.80665
538,3357.812,-52.760098,-9.80665
539,3357.2834,-52.858166,-9.80665
540,3356.754,-52.956234,-9.80665
541,3356.2234,-53.054302,-9.80665
542,3355.692,-53.15237,-9.80665
543,3355.1594,-53.25044,-9.80665
544,3354.626,-53.348507,-9.80665
545,3354.0916,-53.446575,-9.80665
546,3353.5562,-53.544643,-9.80665
547,3353.0198,-53.64271,-9.80665
548,3352.4824,-53.74078,-9.80665
549,3351.944,-53.83885,-9.80665
550,3351.4048,-53.936916,-9.80665
551,3350.8645,-54.034985,-9.80665
552,3350.3232,-54.133053,-9.80665
553,3349.781,-54.23112,-9.80665
554,3349.2378,-54.32919,-9.80665
555,3348.6936,-54.427258,-9.80665
556,3348.1484,-54.525326,-9.80665
557,3347.6023,-54.623394,-9.80665
558,3347.0552,-54.721462,-9.80665
559,3346.507,-54.81953,-9.80665
560,3345.958,-54.9176,-9.80665
561,3345.408,-55.015667,-9.80665
562,3344.857,-55.113735,-9.80665
563,3344.305,-55.211803,-9.80665
564,3343.752,-55.30987,-9.80665
565,3343.1978,-55.40794,-9.80665
566,3342.6426,-55.50601,-9.80665
567,3342.0864,-55.604076,-9.80665
568,3341.5293,-55.702145,-9.80665
569,3340.9712,-55.800213,-9.80665
570,3340.412,-55.89828,-9.80665
571,3339.852,-55.99635,-9.80665
572,3339.291,-56.094418,-9.80665
573,3338.729,-56.192486,-9.80665
574,3338.166,-56.290554,-9.80665
575,3337.602,-56.388622,-9.80665
576,3337.037,-56.48669,-9.80665
577,3336.4712,-56.58476,-9.80665
578,3335.9043,-56.682827,-9.80665
579,3335.3364,-56.780895,-9.80665
580,3334.7676,-56.878963,-9.80665
581,3334.1978,-56.97703,-9.80665
582,3333.627,-57.0751,-9.80665
583,3333.0552,-57.17317,-9.80665
584,3332.4824,-57.271236,-9.80665
585,3331.9087,-57.369305,-9.80665
586,3331.334,-57.467373,-9.80665
587,3330.7583,-57.56544,-9.80665
588,3330.1816,-57.66351,-9.80665
589,3329.604,-57.761578,-9.80665
590,3329.0254,-57.859646,-9.80665
591,3328.4458,-57.957714,-9.80665
592,3327.8652,-58.055782,-9.80665
593,3327.2837,-58.15385,-9.80665
594,3326.7012,-58.25192,-9.80665
595,3326.1177,-58.349987,-9.80665
596,3325.5332,-58.448055,-9.80665
597,3324.9478,-58.546124,-9.80665
598,3324.3613,-58.64419,-9.80665
599,3323.774,-58.74226,-9.80665
600,3323.1855,-58.84033,-9.80665
601,3322.5962,-58.938396,-9.80665
602,3322.0059,-59.036465,-9.80665
603,3321.4146,-59.134533,-9.80665
604,3320.8223,-59.2326,-9.80665
605,3320.229,-59.33067,-9.80665
606,3319.6348,-59.428738,-9.80665
607,3319.0396,-59.526806,-9.80665
608,3318.4434,-59.624874,-9.80665
609,3317.8462,-59.722942,-9.80665
610,3317.248,-59.82101,-9.80665
611,3316.649,-59.91908,-9.80665
612,3316.0488,-60.017147,-9.80665
613,3315.4478,-60.115215,-9.80665
614,3314.8457,-60.213284,-9.80665
615,3314.2427,-60.31135,-9.80665
616,3313.6387,-60.40942,-9.80665
617,3313.0337,-60.50749,-9.80665
618,3312.4277,-60.605556,-9.80665
619,3311.8208,-60.703625,-9.80665
620,3311.213,-60.801693,-9.80665
621,3310.604,-60.89976,-9.80665
622,3309.9941,-60.99783,-9.80665
623,3309.3833,-61.095898,-9.80665
624,3308.7712,-61.193966,-9.80665
625,3308.1582,-61.292034,-9.80665
626,3307.5442,-61.390102,-9.80665
627,3306.9292,-61.48817,-9.80665
628,3306.3132,-61.58624,-9.80665
629,3305.6963,-61.684307,-9.80665
630,3305.0784,-61.782375,-9.80665
631,3304.4595,-61.880444,-9.80665
632,3303.8396,-61.97851,-9.80665
633,3303.2188,-62.07658,-9.80665
634,3302.597,-62.17465,-9.80665
635,3301.974,-62.272717,-9.80665
636,3301.3503,-62.370785,-9.80665
637,3300.7256,-62.468853,-9.80665
638,3300.0999,-62.56692,-9.80665
639,3299.4731,-62.66499,-9.80665
640,3298.8455,-62.763058,-9.80665
641,3298.2168,-62.861126,-9.80665
642,3297.5872,-62.959194,-9.80665
643,3296.9565,-63.057262,-9.80665
644,3296.325,-63.15533,-9.80665
645,3295.6924,-63.2534,-9.80665
